,position,company name,yoe,ctc,location
0,ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,0-5 Yrs,Not disclosed,Gurgaon/Gurugram
1,Technology Analyst: Data Science | Machine Learning,Infosys,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
2,Senior  Data Scientist - Analytics Organization- Data Science,PlaceMinds Consulting Pvt. Ltd,6-11 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
3,Sr Associate (Data Science),IHS Markit,4-5 Yrs,Not disclosed,Gurgaon/Gurugram
4,Technology Lead - Data Science / Machine Learning,Infosys,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
5,Data Science Consultant,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
6,Advisor Digital Analytics and Data Science,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
7,Lead Business Analyst - Data Science | Talent500,TALENT500 TECH (INDIA) PRIVATE LIMITED,6-11 Yrs,Not disclosed,Remote
8,Data Science Senior,Larsen & Toubro (L&T),4-6 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
9,Technical Lead - Data Science,Talent Acceleration Corridor,6-8 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR"
10,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
11,ACN - Applied Intelligence - CC - Data Science - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
12,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
13,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,3-4 Yrs,Not disclosed,Gurgaon/Gurugram
14,"Principal, Quantitative Analytics and Data Science",Gartner,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
15,Data Science Fresher | Geakminds | Chennai,Geakminds Technologies Private Limited,0-2 Yrs,Not disclosed,Chennai
16,Data Science : Analyst - Manager,Aye Finance (P) Ltd,0-3 Yrs,Not disclosed,Gurgaon/Gurugram
17,Manager Data Science,NEC CORPORATION INDIA PRIVATE LIMITED,8-13 Yrs,"9,00,000 - 19,00,000 PA.",Noida
18,Data Science Application Developer,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
19,Director Data Science,Optum,15-18 Yrs,Not disclosed,Noida
0,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
1,Data Science Engineer,Texas Instruments,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science - Intern,SMECLabs Trivandrum,1-3 Yrs,Not disclosed,Ernakulam
3,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science Lead,Larsen & Toubro (L&T),7-10 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
5,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
6,Data Science Manager,Dreamz Consultants,11-16 Yrs,Not disclosed,"Noida, Pune, Bangalore/Bengaluru"
7,"Chief Architect(.Net, Azure, Data Science, Machine Learning, Big Data)",Mapps IT Services Pvt Ltd.,10-20 Yrs,Not disclosed,Remote
8,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
9,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
10,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
11,Python -Data science Trainers,Nexgen Solutions,3-8 Yrs,Not disclosed,Chennai(WFH during Covid)
12,Head of Data Science,Mancer Consulting Services,20-25 Yrs,1 Cr and above PA.,"Bangalore/Bengaluru, Delhi / NCR"
13,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad
14,Data Science Team - Research And Development Intern,Fractal Analytics,0-2 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru"
15,"Senior Specialist, Quantitative Analytics and Data Sciences",Gartner,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
16,Urgent Opening-Principal Consultant- Data Science,Wipro,10-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
17,"Advisor, Data Science",Dell,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Lead Consultant - Big Data Analyst,Genpact,4-9 Yrs,"50,000 - 1,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
19,Data Science,Capgemini,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data Science,Capgemini,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
1,Manager - Machine Learning Engineer ( Data Science ) ( Females only ),Pylon Management Consulting Pvt Ltd,7-9 Yrs,Not disclosed,Remote
2,Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Gurgaon/Gurugram
3,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
5,data science,FUTURES AND CAREERS,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
6,Data Science (OCR/Document Conversion) - Analyst / Senior Analyst,BLUCOGNITION PRIVATE LIMITED,1-4 Yrs,Not disclosed,Pune(WFH during Covid)
7,Data science-subha- Brillio,CHANGE LEADERS CONSULTING,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
8,Excellent opportunity For Data Science in Pune For a MNC,Peoplefy Infosolutions Pvt. Ltd.,0-4 Yrs,Not disclosed,Pune(Kharadi)
9,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
10,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
11,Hiring Freshers | Data Science Fresher,E-con systems India Pvt Ltd,0-0 Yrs,"4,25,000 - 6,00,000 PA.",Chennai
12,Data Science Quality Engineer (Tester),Accenture,6-8 Yrs,Not disclosed,Gurgaon/Gurugram
13,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science - Senior Data Scientist,Paytm,2-4 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru"
15,Data Science Application Lead,Accenture,8-10 Yrs,Not disclosed,Hyderabad/Secunderabad
16,Senior Manager Data Science,Optum,15-25 Yrs,Not disclosed,Hyderabad/Secunderabad
17,Lead - Data Science - BFSI | Fintech Pioneer | GGN,Unnati,5-8 Yrs,"25,00,000 - 30,00,000 PA.","Noida, New Delhi, Gurgaon/Gurugram"
18,Head of Data Science,Connexions,7-10 Yrs,Not disclosed,Gurgaon/Gurugram
19,Data Science - Associate Principal Consultant,Allstate,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
0,Data Science Job @ Applied Materials - Bangalore,Applied Materials,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield)
1,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
2,ACN - Applied Intelligence - GCP - Data Science - 08,Accenture,5-10 Yrs,Not disclosed,Gurgaon/Gurugram
3,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Gurgaon/Gurugram
4,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,8-10 Yrs,Not disclosed,Gurgaon/Gurugram
5,ACN - Applied Intelligence - GCP - Data Science - 09,Accenture,2-6 Yrs,Not disclosed,Gurgaon/Gurugram
6,"Senior Analyst, Business Intelligence & Data Science",Ciena,8-12 Yrs,Not disclosed,Gurgaon/Gurugram
7,Data Science and Advanced Analytics Lead,"Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed,Hyderabad/Secunderabad
8,Brand Technical Specialist - Data Science & Data Governance,IBM,10-15 Yrs,Not disclosed,Mumbai
9,Data Science Analyst Fresh Graduates,TELEMAN INSTITUTE OF WIRELESS TECHNOLOGIES PVT LTD D.,0-3 Yrs,"5,00,000 - 5,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
10,Data Science – Delivery Lead,PlaceMinds Consulting Pvt. Ltd,7-12 Yrs,Not disclosed,"Mumbai, Pune"
11,Acon - Data Science ( Immediate joinees ),Pylon Management Consulting Pvt Ltd,1-4 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)"
12,Con - Data Science ( ML Algorithms ),Pylon Management Consulting Pvt Ltd,4-7 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru(WFH during Covid)"
13,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
14,Sr. Associate - Content Data Science,upGrad,1-5 Yrs,"7,00,000 - 15,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)"
15,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
16,Senior Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science Lead - Finance,Mad Street Den,2-6 Yrs,Not disclosed,Chennai
18,Junior Data Science Professional,Harmony Data Integration Technologies,1-3 Yrs,Not disclosed,Chandigarh
19,Data Science Application Developer,Accenture,8-10 Yrs,Not disclosed,Chennai
0,Data Science Head / Director,MAAHI COGNITIVE WELLBEING LLP,14-20 Yrs,"45,00,000 - 50,00,000 PA.",Hyderabad/Secunderabad(WFH during Covid)
1,AI-ML Lead,Technossus Software Services  Pvt. Ltd,9-14 Yrs,"15,00,000 - 27,50,000 PA.","Mohali/SAS Nagar, Chandigarh, Pune(WFH during Covid)"
2,Merilytics - Manager - Data Science - IIT/BITS/NIT,Meritus Intelytics Private Limited,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad(Kondapur +1)
3,Data Analyst - Data Science (hiring in top MNC),Krazy Mantra HR Solutions Pvt. Ltd,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
4,Associate/Sr. Associate Manager Safety Data Sciences,Eli Lilly and Company,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
5,Opportunity Discussion -Senior Analyst Data Sciences,MAUVETIX SOLUTIONS PRIVATE LIMITED,3-6 Yrs,"7,00,000 - 9,50,000 PA.",Hyderabad/Secunderabad
6,Data Science - Contract To Hire,Successr HR Tech PVT LTD,4-8 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
7,Lead Data Science Engineer - Python/Neural Networks,Huquo Consulting Pvt. Ltd,4-9 Yrs,Not disclosed,Gurgaon/Gurugram
8,Lead Data Science Engineer - NLP/Algorithm,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon/Gurugram
9,Data Science Digital Data Engineering Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
10,Looking For Data science Engineer For Hyderabad Location,MOURI Tech,5-10 Yrs,"10,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru(WFH during Covid)"
11,Data Science Analyst - Technical,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
12,"MNC Hiring For "" Director- Data Science "" - Gurgaon",ESS CEE HR SOLUTIONS,7-12 Yrs,"16,00,000 - 25,00,000 PA.",Gurgaon/Gurugram
13,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
15,Deputy Manager Data Science,FUTURES AND CAREERS,8-12 Yrs,"15,00,000 - 25,00,000 PA.",Bangalore/Bengaluru
16,Consultant- Data Science,CHANGE LEADERS CONSULTING,4-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"
17,Associate Vice President - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,8-13 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR"
18,Hiring Head (data Science ) With a Leading Bank,SKILLVENTORY,15-25 Yrs,Not disclosed,Gurgaon/Gurugram
19,Manager - Data Science (Lifesciences),Spectral Consultants,4-6 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram"
0,Data Science,VEGA Intellisoft Private Limited,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru"
1,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
2,Machine Learning Data Science Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
3,Machine Learning Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
4,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
5,Lead Data Science @ MagicBricks (Times Group),MagicBricks,10-20 Yrs,Not disclosed,Bangalore/Bengaluru
6,ACN - Applied Intelligence - GCP - Data Science - 08,Accenture,3-6 Yrs,Not disclosed,Bangalore/Bengaluru
7,ACN - Applied Intelligence - GCP - Data Science - 09,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
8,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
9,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
10,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
11,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
12,India Market Unit - Data Science Consultant - 09,Accenture,3-6 Yrs,Not disclosed,"Bangalore/Bengaluru, Bengaluru/Bangalore"
13,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
14,Natural Language Processing (NLP) Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Bangalore/Bengaluru
15,"Manager, Data Science",CommVault Systems (India) Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
16,ACN - Applied Intelligence - Solutions.AI - Data Science - 07,Accenture,10-20 Yrs,Not disclosed,Bangalore/Bengaluru
17,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
18,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
19,Hiring For Part Time Professors- Data Science and Business Analytics,AGAMLINC Edu Systems Pvt. Ltd.,5-10 Yrs,"4,00,000 - 6,00,000 PA.",Remote
0,"Manager, Data Science (Delivery)",Zebra Technologies India Pvt Ltd,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science,NNE Private Ltd,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
2,Data Science - Intern,Mindworksglobal,0-0 Yrs,Not disclosed,Noida
3,"Senior Manager - Data Science,Pan India",Smart Cube,10-12 Yrs,Not disclosed,remote
4,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Mumbai
5,Data Science Application Lead,Accenture,4-6 Yrs,Not disclosed,Chennai
6,Senior Manager -  Data Science,Oportun,12-18 Yrs,Not disclosed,Chennai
7,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Mumbai
8,"Senior Associate, Senior Data Manager, Clinical Data Sciences",Pfizer,5-8 Yrs,Not disclosed,Chennai
9,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
10,Senior Analyst - Data Science - IIT/ NIT/ IIM/ XLRI/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon/Gurugram
11,Sr. Analyst Advanced Analytics and Data Science,Kennametal,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
12,Senior Data Science Analyst,Otis,1-3 Yrs,Not disclosed,Bangalore/Bengaluru
13,Senior Data Science Analyst,Otis,3-7 Yrs,Not disclosed,"Hyderabad, Ahmedabad, Bengaluru"
14,"Team Lead Safety Data Sciences, Global Patient Safety",Eli Lilly and Company,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
15,Software Engineer - Data Science,NextTrial AI Software Pvt. Ltd.,0-2 Yrs,"80,000 - 2,00,000 PA.",Bangalore/Bengaluru(WFH during Covid)
16,Senior Software Engineer - Data Science,Ignitee Digital Solutions Pvt Ltd,4-6 Yrs,Not disclosed,Noida
17,Senior Analyst ? Data Science and Artificial Intelligence,Samatrix Consulting Private Limited,6-11 Yrs,Not disclosed,Gurgaon
18,Looking For Part Time Data Science Teacher Trainer with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Navi Mumbai, Gurgaon/Gurugram, Mumbai (All Areas)"
19,Data Science Associate,WRS Info India Pvt. Ltd.,0-9 Yrs,Not disclosed,"Noida, Lucknow"
0,Data Science Integration Engineer,MVG HR Solutions Pvt Ltd,4-9 Yrs,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR(WFH during Covid)"
1,Software Development Engineer III - Data Sciences,Flipkart,5-8 Yrs,Not disclosed,Bengaluru/Bangalore
2,Software Development Engineer II - Data Sciences,Flipkart,4-6 Yrs,Not disclosed,Bengaluru/Bangalore
3,Data Science Engineer,Bajaj Finserv,0-3 Yrs,Not disclosed,Pune
4,Data Science Engineer,Encora,2-5 Yrs,Not disclosed,Chennai
5,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
6,"Senior Software Engineer - Data Science, NLP/ML (Python)",Info Edge India,2-4 Yrs,Not disclosed,Noida
7,Hiring For Data Science Lead with a Media and Entertainment company,SKILLVENTORY,3-8 Yrs,Not disclosed,Mumbai
8,Senior Developer - Data Science/ BI,Radial HR Solutions,7-12 Yrs,"10,00,000 - 20,00,000 PA.","Noida, Bangalore/Bengaluru"
9,Data Science SME - (UK Shift/ Remote/ WFH),Enhance IT,10-20 Yrs,Not disclosed,Remote
10,Data Science Specialist - Freelancer,ALLIANTGROUP INDIA TALENT PRIVATE LIMITED,1-6 Yrs,"5,00,000 - 11,00,000 PA.",Hyderabad/Secunderabad(Madhapur)(WFH during Covid)
11,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,2-5 Yrs,Not disclosed,Chennai
12,Machine Learning Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Pune
13,Openings For Data Science Professionals,E&Y,8-13 Yrs,Not disclosed,Pune
14,Team Lead - Data science,Inlogic Technologies Private Limited.,5-10 Yrs,Not disclosed,Chennai
15,Program Manager (Data Science Programs),Testbook Edu Solutions,1-3 Yrs,Not disclosed,"Mumbai, Navi Mumbai"
16,Data Science Manager - FinTech,Snaphunt,4-8 Yrs,Not disclosed,Remote
17,India Market Unit - Data Science Consultant - 09,Accenture,2-5 Yrs,Not disclosed,Mumbai
18,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Pune
19,ACN - Applied Intelligence - Solutions.AI - Data Science - 07,Accenture,10-20 Yrs,Not disclosed,Pune
0,ACN - Applied Intelligence - CC - Data Science (IN) - 08,Accenture,2-7 Yrs,Not disclosed,Hyderabad/Secunderabad
1,Natural Language Processing (NLP) Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Mumbai
2,Google Cloud Machine Learning Services Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Pune
3,Natural Language Processing (NLP) Data Science Practitioner,Accenture,12-15 Yrs,Not disclosed,Chennai
4,Subject Matter Expert - Data Science,Skillenable Fintech Private Limited,1-5 Yrs,"2,50,000 - 5,50,000 PA.",Kolkata
5,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Mumbai
6,"Asst/ Asso/ Professor CSE, ECE ,  IT( AI, ML, NLP, Data Science)","GOPAL NARAYAN SINGH UNIVERSITY,JAMUHAR, SASARAM",1-6 Yrs,Not disclosed,Sasaram
7,"Consultant, Data Science and Analytics",TransUnion,4-8 Yrs,Not disclosed,Pune
8,Lead Data Science Analyst - Python/Spark,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram
9,Lead Data Science Analyst - Python/ Spark,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram
10,Analyst - Data Science,Nuware  Systems Pvt Ltd,3-6 Yrs,Not disclosed,Bengaluru
11,DA&S - Data Science analyst,Accenture,1-4 Yrs,Not disclosed,Bengaluru/Bangalore
12,Lead Business Analyst - Data Science,TEKION,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
13,Data Science Analyst,Perfect Day,5-7 Yrs,Not disclosed,Bangalore/Bengaluru
14,Analyst (Data Science),Bloom Consulting Services,3-8 Yrs,Not disclosed,Bengaluru
15,"MNC Hiring For "" AI/ ML Sr. consultant- Cloud +data science ""- Gurgaon",ESS CEE HR SOLUTIONS,10-17 Yrs,"20,00,000 - 35,00,000 PA.",Gurgaon/Gurugram
16,Data Science - Senior Data Scientist,Paytm,2-4 Yrs,Not disclosed,New Delhi
17,Unit Manager - Payments - Data Science/Senior Unit Manager,Bajaj Finserv,3-5 Yrs,Not disclosed,Pune
18,"TTEC  -  Senior Analyst ,  Data Science",TTEC,1-3 Yrs,Not disclosed,Hyderabad
19,Data Science - Analyst / Sr. Analyst,BLUCOGNITION PRIVATE LIMITED,3-5 Yrs,Not disclosed,Pune(WFH during Covid)
0,"Senior Analyst, Data Science & Analytics",TransUnion,5-8 Yrs,Not disclosed,Pune
1,Sr Analyst- Data Science and Analytics,TransUnion,5-8 Yrs,Not disclosed,Pune
2,Data Science Engineer - Tableau/Power BI,Yo HR Consultancy,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
3,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,New Delhi
4,Sr. Data Science Engineer,Kyndryl,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR"
5,Data Science - Analyst ( Intern ),Merkle Inc.,1-2 Yrs,Not disclosed,Pune
6,data science,FUTURES AND CAREERS,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data Science,CHANGE LEADERS CONSULTING,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru"
8,Data Science,Onward Technologies Limited,6-9 Yrs,"12,00,000 - 18,00,000 PA.",Bangalore/Bengaluru
9,Data Science Lead,Continuum Global,4-6 Yrs,Not disclosed,Gurgaon/Gurugram
10,Data Science,Inductive quotient analytics india Pvt. Ltd.,0-1 Yrs,"1,50,000 - 3,00,000 PA.",Hyderabad/Secunderabad
11,Data Science,Diverse Lynx,2-6 Yrs,Not disclosed,Gurgaon
12,Senior Manager - Data Science,Smart Cube,8-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR"
13,Senior Data Science & Analytics Platform Engineer,GSK India,2-7 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science Specialist,Veersa Technologies,3-6 Yrs,Not disclosed,Noida
15,Data Science Instructor,DataIsGood,2-6 Yrs,Not disclosed,Remote
16,Technical Manager - Data Science,Veersa Technologies,12-18 Yrs,Not disclosed,Noida
